"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 21:56:34 GMT 2024","Thu Feb 22 21:56:38 GMT 2024","3854","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: angular , password: password",""
"skipped","Thu Feb 22 21:43:39 GMT 2024","Thu Feb 22 21:43:48 GMT 2024","8857","","tests.ui.WorkTest","","tests.ui.WorkTest","swiperBannerTest","Проверка наличия и отображения баннера. Проверка его работоспособности. Проверка наличия и отображения баннера. Проверка его работоспособности. (Repetition 2 of 3)","Тест проверяет отображение слайдера с баннерами. Свайпает слайдер и проверяет меняется ли класс слайдера на другой, для проверки смены активных слайдов"
"skipped","Thu Feb 22 21:52:41 GMT 2024","Thu Feb 22 21:53:14 GMT 2024","33246","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: qwe , password: password (Repeat 4 of 10)",""
"skipped","Thu Feb 22 21:56:52 GMT 2024","Thu Feb 22 21:57:26 GMT 2024","33367","","tests.ui.AuthorizationTest","","tests.ui.AuthorizationTest","wayAuthorizationTest","Проверка авторизации на сайте Way2 Проверка авторизации на сайте Way2","Тест проверяет успешно ли проходит авторизация на сайте Way2 при вводе учетных данных пользователя."
"skipped","Thu Feb 22 21:45:27 GMT 2024","Thu Feb 22 21:46:00 GMT 2024","33451","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: angular , password: 123 (Repeat 2 of 10)",""
"passed","Thu Feb 22 21:56:46 GMT 2024","Thu Feb 22 21:56:52 GMT 2024","6504","","tests.ui.JavaScriptExecutorTest","","tests.ui.JavaScriptExecutorTest","javaScriptExecutorTest","Тестирование Фокуса и Наличие и отсутствие скролла Тестирование Фокуса и Наличие и отсутствие скролла","Тест проверяет наличие вертикального скролла и отсутствие горизонтального, проверяет снимается ли фокус с поля ввода Username"
"skipped","Thu Feb 22 21:46:34 GMT 2024","Thu Feb 22 21:47:07 GMT 2024","33370","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: angular , password: 123 (Repeat 4 of 10)",""
"passed","Thu Feb 22 21:43:14 GMT 2024","Thu Feb 22 21:43:17 GMT 2024","2757","","tests.ui.DisplayTest","","tests.ui.DisplayTest","certificatesBlockVisibilityTest","Проверка наличия и отображения блока с Сертификатами. Проверка наличия и отображения блока с Сертификатами.","Тест проверяет наличие и отображение блока с Сертификатами."
"skipped","Thu Feb 22 21:57:58 GMT 2024","Thu Feb 22 21:58:31 GMT 2024","32529","","tests.ui.AuthorizationTest","","tests.ui.AuthorizationTest","wayAuthorizationTest","Проверка авторизации на сайте Way2 Проверка авторизации на сайте Way2 (Repetition 2 of 3)","Тест проверяет успешно ли проходит авторизация на сайте Way2 при вводе учетных данных пользователя."
"passed","Thu Feb 22 21:44:07 GMT 2024","Thu Feb 22 21:44:09 GMT 2024","2131","","tests.ui.HttpWatchAuthTest","","tests.ui.HttpWatchAuthTest","testBasicAuth","Тест авторизации Тест авторизации","Тестирование авторизации, наличия картинки при ее успехе"
"passed","Thu Feb 22 21:44:09 GMT 2024","Thu Feb 22 21:44:12 GMT 2024","3383","","tests.ui.TabsTest","","tests.ui.TabsTest","testTabs","Тест вкладок Тест вкладок","Тест количества вкладок после совершения действий на странице, тест работоспособности ссылки открывающей вкладку"
"skipped","Thu Feb 22 21:57:26 GMT 2024","Thu Feb 22 21:57:58 GMT 2024","32750","","tests.ui.AuthorizationTest","","tests.ui.AuthorizationTest","wayAuthorizationTest","Проверка авторизации на сайте Way2 Проверка авторизации на сайте Way2 (Repetition 1 of 3)","Тест проверяет успешно ли проходит авторизация на сайте Way2 при вводе учетных данных пользователя."
"skipped","Thu Feb 22 21:52:08 GMT 2024","Thu Feb 22 21:52:41 GMT 2024","33266","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: qwe , password: password (Repeat 3 of 10)",""
"failed","Thu Feb 22 21:58:31 GMT 2024","Thu Feb 22 21:59:03 GMT 2024","32548","","tests.ui.AuthorizationTest","","tests.ui.AuthorizationTest","wayAuthorizationTest","Проверка авторизации на сайте Way2 Проверка авторизации на сайте Way2 (Repetition 3 of 3)","Тест проверяет успешно ли проходит авторизация на сайте Way2 при вводе учетных данных пользователя."
"passed","Thu Feb 22 21:43:11 GMT 2024","Thu Feb 22 21:43:14 GMT 2024","3185","","tests.ui.DisplayTest","","tests.ui.DisplayTest","footerVisibilityTest","Проверка наличия и отображения Футера Проверка наличия и отображения Футера","Тест проверяет наличие и отображение Футера."
"broken","Thu Feb 22 21:56:00 GMT 2024","Thu Feb 22 21:56:34 GMT 2024","33438","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: qwe , password: password (Repeat 10 of 10)",""
"skipped","Thu Feb 22 21:48:47 GMT 2024","Thu Feb 22 21:49:21 GMT 2024","33250","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: angular , password: 123 (Repeat 8 of 10)",""
"passed","Thu Feb 22 21:44:12 GMT 2024","Thu Feb 22 21:44:16 GMT 2024","3320","","tests.ui.DragAndDropTest","","tests.ui.DragAndDropTest","testDragAndDrop","Тест Drag and Drop элемента на изменение состояния после совершения действия Тест Drag and Drop элемента на изменение состояния после совершения действия","Тест изменения состояния текста div при drag and drop элемента в другой элемент"
"passed","Thu Feb 22 21:44:04 GMT 2024","Thu Feb 22 21:44:07 GMT 2024","3316","","tests.ui.AlertsTest","","tests.ui.AlertsTest","testAlertInput","Тест вывода записаного в поле Алерт текста Тест вывода записаного в поле Алерт текста","Тест изменения состояния текста в блоке фрейма, при введении текста в поле Алерта, которое появляется при нажатии кнопки."
"skipped","Thu Feb 22 21:44:20 GMT 2024","Thu Feb 22 21:44:54 GMT 2024","33511","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: angular , password: 123",""
"skipped","Thu Feb 22 21:46:00 GMT 2024","Thu Feb 22 21:46:34 GMT 2024","33654","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: angular , password: 123 (Repeat 3 of 10)",""
"skipped","Thu Feb 22 21:53:14 GMT 2024","Thu Feb 22 21:53:47 GMT 2024","33260","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: qwe , password: password (Repeat 5 of 10)",""
"skipped","Thu Feb 22 21:47:41 GMT 2024","Thu Feb 22 21:48:14 GMT 2024","33371","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: angular , password: 123 (Repeat 6 of 10)",""
"skipped","Thu Feb 22 21:43:21 GMT 2024","Thu Feb 22 21:43:30 GMT 2024","9061","","tests.ui.WorkTest","","tests.ui.WorkTest","swiperBannerTest","Проверка наличия и отображения баннера. Проверка его работоспособности. Проверка наличия и отображения баннера. Проверка его работоспособности.","Тест проверяет отображение слайдера с баннерами. Свайпает слайдер и проверяет меняется ли класс слайдера на другой, для проверки смены активных слайдов"
"skipped","Thu Feb 22 21:54:54 GMT 2024","Thu Feb 22 21:55:27 GMT 2024","33258","","tests.ui.DataProviderAuthTest","","tests.ui.DataProviderAuthTest","testLogin","testLogin(String, String) Login: qwe , password: password (Repeat 8 of 10)",""
